"institution","utype","short","kind"
"中国工商银行股份有限公司","A","工商银行","银行"
"中国农业银行股份有限公司","A","农业银行","银行"
"中国银行股份有限公司","A","中国银行","银行"
"中国建设银行股份有限公司","A","建设银行","银行"
"交通银行股份有限公司","A","交通银行","银行"
"国家开发银行股份有限公司","A","国开行","银行"
"中国进出口银行","A","进出口行","银行"
"招商银行股份有限公司","A","招商银行","银行"
"中信银行股份有限公司","A","中信银行","银行"
"兴业银行股份有限公司","A","兴业银行","银行"
"光大银行股份有限公司","A","光大银行","银行"
"中国民生银行股份有限公司","A","民生银行","银行"
"华夏银行股份有限公司","A","华夏银行","银行"
"上海浦东发展银行股份有限公司","A","浦发银行","银行"
"广发银行股份有限公司","A","广发银行","银行"
"平安银行股份有限公司","A","平安银行","银行"
"恒丰银行股份有限公司","A","恒丰银行","银行"
"渤海银行股份有限公司","A","渤海银行","银行"
"北京银行股份有限公司","A","北京银行","银行"
"上海银行股份有限公司","A","上海银行","银行"
"南京银行股份有限公司","A","南京银行","银行"
"浙商银行股份有限公司","A","浙商银行","银行"
"中国邮政储蓄银行股份有限公司","A","邮储银行","银行"
"中信证券股份有限公司","A","中信证券","证券"
"中国国际金融有限公司","A","中金公司","证券"
"国泰君安证券股份有限公司","A","国泰君安","证券"
"招商证券股份有限公司","A","招商证券","证券"
"光大证券股份有限公司","A","光大证券","证券"
"中信建投证券股份有限公司","A","中信建投","证券"
"广发证券股份有限公司","A","广发证券","证券"
"华泰证券股份有限公司","A","华泰证券","证券"
"银河证券股份有限公司","A","银河证券","证券"
"国信证券股份有限公司","A","国信证券","证券"
"东方证券股份有限公司","A","东方证券","证券"
"海通证券股份有限公司","A","海通证券","证券"
"江苏银行股份有限公司","B","江苏银行","银行"
"天津银行股份有限公司","B","天津银行","银行"
"徽商银行股份有限公司","B","徽商银行","银行"
"北京农村商业银行股份有限公司","B","北京农商行","银行"
"上海农村商业银行股份有限公司","B","上海农商行","银行"
"杭州银行股份有限公司","B","杭州银行","银行"
"宁波银行股份有限公司","B","宁波银行","银行"
"大连银行股份有限公司","B","大连银行","银行"
"广东顺德农村商业银行股份有限公司","B","顺德农商行","银行"
"成都银行股份有限公司","B","成都银行","银行"
"郑州银行股份有限公司","B","郑州银行","银行"
"重庆农村商业银行股份有限公司","B","重庆农商行","银行"
"青岛银行股份有限公司","B","青岛银行","银行"
"汉口银行股份有限公司","B","汉口银行","银行"
"厦门银行股份有限公司","B","厦门银行","银行"
"长沙银行股份有限公司","B","长沙银行","银行"
"汇丰银行（中国）有限公司","D","汇丰银行","银行"
"盛京银行股份有限公司","D","盛京银行","银行"
"广州农村商业银行股份有限公司","D","广州农商行","银行"
"哈尔滨银行股份有限公司","D","哈尔滨银行","银行"
"中国农业发展银行","D","农发行","银行"
"广州银行股份有限公司","D","广州银行","银行"
"河北银行股份有限公司","D","河北银行","银行"
"富滇银行股份有限公司","D","富滇银行","银行"
"龙江银行股份有限公司","D","龙江银行","银行"
"昆仑银行股份有限公司","D","昆仑银行","银行"
"渣打银行（中国）有限公司","D","渣打银行","银行"
"中银国际证券有限责任公司","D","中银国际","证券"
"申万宏源证券有限公司","D","申万宏源","证券"
"长江证券股份有限公司","D","长江证券","证券"
"东海证券股份有限公司","D","东海证券","证券"
"平安证券有限责任公司","D","平安证券","证券"
"南京证券有限责任公司","D","南京证券","证券"
"国元证券股份有限公司","D","国元证券","证券"
"国都证券有限责任公司","D","国都证券","证券"
"中国中投证券有限责任公司","D","中投证券","证券"
"第一创业证券股份有限公司","D","第一创业","证券"
"中国人保资产管理股份有限公司","D","人保资产","保险"
"中国人寿资产管理有限公司","D","人寿资产","保险"
"南方电网财务有限公司","D","南网财务","财务"
"中油财务有限责任公司","D","中油财务","财务"
"中国石化财务有限责任公司","D","石化财务","财务"
"国电财务有限公司","D","国电财务","财务"
"中电投财务有限公司","D","中电投财务","财务"
